material_id,formula_pretty,nelements,nsites,crystal_system,density,formation_energy_per_atom,band_gap,energy_above_hull
mp-756693,Fe13O15,2,28,Triclinic,5.281951346158334,-1.4855365237499984,1.2639,0.07654428000000202
mp-756816,Li3Fe3O8,3,14,Orthorhombic,3.677137038778811,-1.5233306257142851,0.0,0.1500742663214325
mp-756856,Li5Fe7O12,3,24,Monoclinic,4.516351706497027,-1.8427738211111115,1.221,0.02492669989583085
mp-756862,Li7Fe5O12,3,24,Monoclinic,4.205121732849242,-1.8958191193055562,0.018299999999999983,0.01562889093749309
mp-756941,LiFeO3,3,20,Orthorhombic,3.7191246302921996,-1.416347921166667,0.0,0.14844422860000162
mp-756955,Li3Fe3O8,3,28,Hexagonal,3.564523988127281,-1.5643014082142852,0.0,0.10910348382143198
mp-757153,LiFe5O8,3,14,Cubic,4.933619474639545,-1.6282701609523806,1.0312999999999994,0.14677701910714624
mp-757201,Li4Fe3O8,3,15,Trigonal,4.127806761640032,-1.6180226948888883,0.11620000000000008,0.17384740488095396
mp-757565,Fe41O56,2,97,Trigonal,4.882269897149725,-1.5711104228865964,0.01540000000000008,0.08482027814432946
mp-757614,LiFeO2,3,8,Orthorhombic,4.365992914117121,-1.9449367477083328,1.6202000000000005,0.0
mp-758077,Li(Fe2O3)4,3,42,Monoclinic,4.622658711148297,-1.6646843170634922,1.0797000000000003,0.06622787630952409
mp-758099,Li15(FeO6)2,3,29,Triclinic,2.643281858913955,-1.9115229358620691,0.019299999999999984,0.0514539625862076
mp-758105,Li5Fe11O16,3,32,Monoclinic,4.927178669930404,-1.7214579058333337,0.5926,0.04969733179687541
mp-758249,Li(FeO2)3,3,10,Monoclinic,3.8490079977607037,-1.4955311203333324,0.0,0.14041063105000262
mp-758388,Li3Fe3O8,3,14,Trigonal,3.656173944704903,-1.5995402664285703,0.0,0.0738646256071469
mp-758469,Li3(FeO2)4,3,15,Monoclinic,4.29039469278666,-1.7442859899999992,0.2439,0.09765242560000242
mp-758515,Li2(FeO2)3,3,11,Monoclinic,4.395091653084047,-1.6776751278787883,0.0,0.12680934877272865
mp-758559,Li3Fe5O12,3,40,Triclinic,3.710653710118908,-1.4468370227500003,0.0,0.15352992782500152
mp-758794,Li5Fe5O12,3,44,Triclinic,3.8647710476634587,-1.705398682575758,0.0,0.06674506606818209
mp-758888,Li6Fe7O15,3,28,Monoclinic,4.1686582251833055,-1.7026726762499993,0.0,0.11920342962500197
mp-759022,Li5Fe5O12,3,44,Triclinic,3.7865802606724603,-1.7111107737121216,0.10609999999999986,0.061032974931818806
mp-759037,Fe9O10,2,19,Triclinic,5.350642916025339,-1.5020958310526311,1.6011999999999995,0.038784599999999614
mp-759144,Li9(FeO4)2,3,38,Monoclinic,2.4872052749758033,-1.906829442368421,0.0,0.0886670957894733
mp-759241,Li4Fe7O12,3,46,Monoclinic,4.487540561429056,-1.7983046251449273,1.4465999999999997,0.05462944021739258
mp-759319,Li3Fe5O12,3,40,Triclinic,3.8054578286412393,-1.4549057217500008,0.0,0.14546122882500168
mp-759394,Li2FeO3,3,24,Orthorhombic,3.651900683763228,-1.8110941623611112,0.0,0.06686511041666687
mp-759504,Fe10O11,2,21,Triclinic,5.433021814918142,-1.4792695335714283,1.3085999999999998,0.055957464761904774
mp-760142,Li12Fe5O16,3,33,Triclinic,3.459923097083036,-1.8193510454545458,0.0,0.0765640856060612
mp-760335,Li3FeO4,3,8,Orthorhombic,3.3618334047378227,-1.76369332125,0.0,0.05731869249999999
mp-760809,Li3(FeO3)2,3,66,Monoclinic,3.5223350746660844,-1.666502363030303,0.0,0.06970713748917579
mp-760830,Li4Fe2O5,3,44,Monoclinic,3.063795377752164,-1.9406634475757572,2.1431999999999998,0.04840466238636676
mp-760833,LiFeO3,3,60,Monoclinic,3.483427488171731,-1.4335888043333322,0.3214,0.13120334543333634
mp-761189,LiFeO3,3,10,Monoclinic,3.814901015696683,-1.1329338756666671,0.0,0.43185827410000144
mp-762529,Li2(FeO2)5,3,17,Triclinic,4.046393161139368,-1.5376681950980389,0.0,0.1346259087941215
mp-762575,Li2(FeO2)3,3,22,Triclinic,3.975895677892367,-1.728439179242425,0.0,0.0760452974090926
mp-762600,Li6Fe7O15,3,28,Monoclinic,4.191219247899139,-1.2856254291071423,0.0,0.5362506767678594
mp-762692,Li5Fe11O16,3,32,Triclinic,4.807903247916924,-1.7287216761458337,0.36409999999999965,0.04243356148437538
mp-763305,Li8FeO6,3,30,Orthorhombic,2.3345895097031875,-1.968938306111111,0.0,0.02475447133333475
mp-763418,Li2Fe3O10,3,15,Triclinic,3.185983740367433,-0.8265970177777784,0.0,0.5084819339000033
mp-763787,Fe8O9,2,17,Triclinic,5.334808073079199,-1.486613475588236,1.4134000000000002,0.061250607647057365
mp-764163,Li3FeO4,3,8,Orthorhombic,3.334652406128154,-1.7634307837499996,0.0,0.05758123000000026
mp-764326,Fe12O13,2,25,Trigonal,5.447533819026765,-1.4442048121999982,0.0,0.08242896840000213
mp-764417,Fe14O15,2,29,Tetragonal,5.5357631982681905,-1.4621298877586197,1.0187,0.058281217931034135
mp-764889,Li9Fe5O12,3,26,Monoclinic,3.6437874366809937,-1.9127758473076928,0.27900000000000036,0.06950282230768945
mp-764936,Li8(FeO2)5,3,23,Monoclinic,3.1847320294782744,-1.7977850711594212,0.0,0.10480181663043453
mp-766727,Li5Fe11O16,3,64,Monoclinic,4.777174348561909,-1.7485514873958339,1.1468000000000003,0.02260375023437522
mp-766829,Li15(FeO4)4,3,70,Monoclinic,2.4293761805929104,-1.798948996571428,0.0,0.11678318757142936
mp-769519,Li21(FeO4)4,3,41,Monoclinic,2.552990588071448,-1.9987800448780486,1.4195,0.028553344390245705
mp-770655,Li3Fe5O9,3,34,Monoclinic,3.577855155230589,-1.768304815882352,1.6819000000000002,0.10667740397058889
mp-770834,Li5FeO4,3,40,Monoclinic,2.521236702175351,-1.996121979666666,2.7818,0.04590376500000204
mp-770885,Li3FeO3,3,28,Monoclinic,2.7792020417963563,-1.945558769642857,2.2955,0.06872726160714482
mp-770886,Li3FeO3,3,28,Orthorhombic,2.8264002246567497,-1.968577607142857,1.9602,0.045708424107144374
mp-770893,Li4Fe2O5,3,44,Monoclinic,3.0656285552814713,-1.91489074030303,1.5990999999999997,0.07417736965909416
mp-770923,Li5FeO4,3,40,Monoclinic,2.4804799785383165,-1.9706470331666666,2.9148,0.0713787115000013
mp-771057,Li(FeO2)2,3,28,Hexagonal,4.533795151486332,-1.5849059829761905,0.0,0.13932005307142958
mp-771124,Li7Fe3O8,3,36,Triclinic,2.8855044592769095,-1.9106682860185187,1.8594,0.08820679333333814
mp-771135,Li(FeO2)2,3,28,Tetragonal,4.077701250345931,-1.6646676226190473,0.0,0.059558413428573154
mp-771396,Li4(FeO2)9,3,62,Monoclinic,4.011561822330112,-1.5722452917204304,0.0,0.12350194282258187
mp-771571,Li(FeO2)2,3,28,Orthorhombic,4.289968364392686,-1.6480453929761896,0.0,0.07618064307143069
mp-771687,Li5Fe5O12,3,22,Monoclinic,3.547553615946496,-1.6740761753030298,0.0,0.09806757334091021
mp-771894,Li3FeO3,3,28,Tetragonal,2.8788193013013696,-1.9407406635714284,1.9077000000000002,0.07354536767857311
mp-771897,Li6FeO6,3,13,Trigonal,2.5699288974157337,-1.778746956153847,0.0,0.07470363807691971
mp-771986,Li4Fe3O8,3,15,Trigonal,3.751341199899832,-1.7000590722222217,0.1331,0.09181102754762005
mp-772508,LiFe3O4,3,8,Orthorhombic,5.058356678656271,-1.6268654879166666,0.0,0.08636257968750005
mp-772983,Li8Fe2O9,3,76,Triclinic,3.0307869337236166,-1.8438580644298248,0.5312000000000001,0.017332112500000108
mp-772996,Li9Fe23O32,3,64,Monoclinic,4.885425588112171,-1.7033639593750003,1.0953000000000004,0.03882769324218671
mp-773010,LiFe23O32,3,56,Trigonal,4.754642404395326,-1.6186948348809531,0.49629999999999974,0.05704862513392861
mp-773043,Li(FeO2)2,3,56,Triclinic,4.217493644850108,-1.6211754245833327,0.0,0.10305061146428773
mp-773525,LiFe3O4,3,8,Monoclinic,5.018470876028103,-1.6720515504166666,0.7842000000000002,0.04117651718750004
mp-774155,Li2FeO3,3,24,Monoclinic,3.6288091382154466,-1.8779592727777779,0.0965999999999998,0.0
mp-774295,Fe23O32,2,55,Trigonal,5.173468315041151,-1.4794740807272733,0.009599999999999831,0.18660418763636333
mp-774501,Li9(FeO4)2,3,19,Monoclinic,2.546949117573173,-1.910536287368421,0.046499999999999986,0.08496025078947333
mp-775127,Li4Fe3O8,3,15,Trigonal,3.551388475057465,-1.724968086222222,0.0,0.06690201354761971
mp-776135,Fe23O32,2,55,Triclinic,4.955894139185385,-1.5590120105454555,0.6341000000000006,0.10706625781818069
mp-776606,Fe2O3,2,40,Triclinic,5.142396896483901,-1.5840697992499997,0.0,0.12302155375000012
mp-779333,Li5FeO4,3,40,Orthorhombic,2.580157806219436,-1.9726813569166666,2.764,0.06934438775000107
mp-779474,Li8Fe2O7,3,68,Monoclinic,2.66015612646982,-1.9603860175980383,2.5120000000000005,0.0702174921323575
mp-779889,Li5FeO4,3,80,Orthorhombic,2.497500167835516,-1.9539344276666668,3.0738999999999996,0.08809131700000083
mp-780188,Li6Fe5O12,3,23,Monoclinic,3.9200935763572673,-1.8099457421739127,0.0,0.035164930791925286
mp-780192,Li5FeO4,3,40,Triclinic,2.505205946053054,-1.9949778201666668,2.5873,0.04704792450000106
mp-780203,Li9(FeO4)2,3,38,Triclinic,2.5112203188489928,-1.9223527289473683,0.041999999999999996,0.0731438092105261
mp-780207,Li5FeO4,3,40,Triclinic,2.483619977611781,-1.9847467809166666,2.3853,0.057278963750000855
mp-780216,Li5Fe3O8,3,32,Triclinic,3.757134501530932,-1.8442670435416666,0.0,0.05043659796874955
mp-780305,Li6Fe5O12,3,46,Triclinic,3.8556917312098937,-1.78551403673913,0.0,0.059596636226707744
mp-780312,Li5(FeO2)4,3,34,Monoclinic,4.122382600565615,-1.848594704215686,1.0707,0.07724308705882343
mp-781016,Li14Fe4O13,3,62,Monoclinic,2.53544173517084,-1.9238497861827948,2.3295,0.09938453971774397
mp-796259,FeO2,2,12,Orthorhombic,4.358225870585834,-1.2181207625,0.0,0.20445536500000028
mp-796324,FeO2,2,12,Tetragonal,3.789209384847087,-1.242750721666667,1.1543,0.17982540583333328
mp-799417,Fe10O11,2,21,Triclinic,5.433022292441989,-0.8233716192857136,0.0,0.7118553790476199
mp-806082,Li7Fe3O8,3,36,Triclinic,2.885504452818364,0.3838445000925922,0.0,2.382719579444449
mp-821313,FeO2,2,3,Trigonal,3.8986214189660835,-1.1480066466666667,0.0,0.27456948083333366
mp-849463,Li11(FeO3)4,3,27,Monoclinic,2.8633211080543433,-1.868822404691358,0.0,0.11516879134259295
mp-849528,Li3FeO4,3,32,Cubic,3.6199736362198465,-1.8045167099999997,0.3288,0.01649530375000019
