trace_id,batch_start,initial_pce,final_pce,pce_min,pce_max,degradation_rate_pct_per_khr,early_slope_pct_per_khr,pce_noise_std,t80_hours,t80_censored,reaches_t80_in_window,n_points,batch_id,batch_size
112,2020-06-23 13:20:00,14.5176,15.5846,11.9734,15.9646,-10.999,-50.5133,0.43883,,True,False,900,5,25
113,2020-06-23 13:20:00,0.9257,15.5465,0.8351,15.914,-17.4578,-319.3478,1.76953,,True,False,900,5,25
114,2020-06-23 13:20:00,6.6303,14.7829,0.598,16.2559,-20.0191,-577.8111,2.49752,,True,False,900,5,25
115,2020-06-23 13:20:00,18.3913,16.7959,12.9924,18.6353,-3.9147,-6.4684,0.35646,,True,False,900,5,25
116,2020-06-23 13:20:00,19.1807,16.7256,12.9772,19.2995,7.7122,24.3828,0.17692,,True,False,900,5,25
117,2020-06-23 13:20:00,12.603,14.4913,11.582,15.6327,-0.3389,-56.6931,0.40433,,True,False,900,5,25
118,2020-06-23 13:20:00,18.6373,16.3657,12.803,18.6892,6.7711,33.3608,0.1783,,True,False,900,5,25
119,2020-06-23 13:20:00,16.4139,16.0907,12.2676,16.5581,-1.0071,0.8685,0.19902,,True,False,900,5,25
120,2020-06-23 13:20:00,18.7044,16.108,12.5269,18.9212,7.7891,29.71,0.18426,,True,False,900,5,25
121,2020-06-23 13:20:00,0.058,15.1447,0.0527,16.1963,-8.3912,-434.0085,2.00305,,True,False,900,5,25
122,2020-06-23 13:20:00,18.6007,16.079,12.6466,18.8298,7.2474,22.1171,0.2054,,True,False,900,5,25
123,2020-06-23 13:20:00,8.7943,15.4034,0.8507,16.3382,-22.4425,-712.7496,2.75937,,True,False,900,5,25
124,2020-06-23 13:20:00,18.5844,16.3742,12.7037,18.81,5.8747,16.3944,0.19826,,True,False,900,5,25
125,2020-06-23 13:20:00,17.8515,14.9137,11.9298,18.1139,13.8712,13.814,0.22956,,True,False,900,5,25
126,2020-06-23 13:20:00,11.0477,13.7677,0.3554,13.854,-23.2909,-199.7794,1.76515,,True,False,900,5,25
