eid,Al_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Sc_frac,Si_frac,Sn_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,condition,ph1,ph2,ph3,grain_size_param_1,grain_size_param_2,flag_1,flag_2,flag_3,YM_GPa,YM_err,YS_MPa,YS_err,UTS_MPa,UTS_err,DAR_pct,DAR_err,test_mode,HV,HV_err,Mo_equivalent,Mo_equivalent_class,ref_doi,ref_key,comments
Ti-3Cu,0.0,0.0,0.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772,0.0,0.0,0.0,ST-AC,Ti-alpha-p,Ti2Cu,,,,0,0,0,,,535.0,6.0,633.0,,19.0,5.0,tension,243.0,18.0,0.0,rich,10.1016/j.jmst.2019.03.044,wang2019,"Alloys annealed at 910 deg C for 1 h then AC. Based on the morphology presented in Fig. 2, the matrix is alpha-prime martensite (Fig. 1 can be misleading). Elastic modulus not reported."
Ti-5Cu,0.0,0.0,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619,0.0,0.0,0.0,ST-AC,Ti-alpha-p,Ti2Cu,,,,0,0,0,,,588.0,5.0,745.0,,8.3,0.7,tension,272.0,29.0,0.0,rich,10.1016/j.jmst.2019.03.044,wang2019,"Alloys annealed at 910 deg C for 1 h then AC. Based on the morphology presented in Fig. 2, the matrix is alpha-prime martensite (Fig. 1 can be misleading). Elastic modulus not reported."
Ti-7Cu,0.0,0.0,0.0537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9463,0.0,0.0,0.0,ST-AC,Ti-alpha-p,Ti2Cu,,,,0,0,0,,,711.0,7.0,877.0,,3.6,1.6,tension,298.0,20.0,0.0,rich,10.1016/j.jmst.2019.03.044,wang2019,"Alloys annealed at 910 deg C for 1 h then AC. Based on the morphology presented in Fig. 2, the matrix is alpha-prime martensite (Fig. 1 can be misleading). Elastic modulus not reported."
Ti-30Zr-5Al-3V,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6933,0.0315,0.0,0.176,ST-AC,Ti-alpha-p,Ti-beta,,,400.0,0,1,0,97.0,,1181.0,,1302.0,,4.28,,tension,400.0,11.0,-2.99,other,10.1016/j.msea.2017.03.027,li2017,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6."
Ti-30Zr-5Al-3V-0.5Fe,0.0993,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6882,0.0315,0.0,0.1762,ST-AC,Ti-alpha-p,Ti-beta,,,400.0,0,1,0,92.0,,1299.0,,1420.0,,5.34,,tension,439.0,13.0,-1.54,other,10.1016/j.msea.2017.03.027,li2017,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6."
Ti-30Zr-5Al-3V-1.0Fe,0.0993,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6832,0.0316,0.0,0.1763,ST-AC,Ti-alpha-p,Ti-beta,,,400.0,0,1,0,100.0,,1421.0,,1533.0,,2.49,,tension,475.0,11.0,-0.09,other,10.1016/j.msea.2017.03.027,li2017,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6."
Ti-30Zr-5Al-3V-1.5Fe,0.09940994099409942,0.0,0.0,0.0144014401440144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6781678167816781,0.03160316031603161,0.0,0.17641764176417643,ST-AC,Ti-beta,Ti-alpha-p,,,350.0,0,1,0,96.0,,1553.0,,1667.0,,2.34,,tension,488.0,11.0,1.36,rich,10.1016/j.msea.2017.03.027,li2017,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6."
Ti-30Zr-5Al-3V-2.0Fe,0.0995,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6731,0.0316,0.0,0.1766,ST-AC,Ti-beta,Ti-alpha-p,,,300.0,0,1,0,103.0,,1399.0,,1538.0,,1.9,,tension,484.0,13.0,2.8,rich,10.1016/j.msea.2017.03.027,li2017,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6."
Ti-30Zr-5Al-3V-2.5Fe,0.0996,0.0,0.0,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.0316,0.0,0.1767,ST-AC,Ti-beta,Ti-alpha-p,,,300.0,0,1,0,79.0,,1068.0,,1115.0,,2.0,,tension,403.0,15.0,4.27,rich,10.1016/j.msea.2017.03.027,li2017,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6."
Ti-25Nb-3Zr-3Mo-2Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.1538,0.0,0.0,0.0,0.0096,0.0,0.7999,0.0,0.0,0.0188,ST-AC,Ti-beta,,,,25.0,0,0,1,83.0,6.0,499.1,71.4,708.5,,0.7,,tension,,,10.01,meta,10.1016/j.msea.2009.11.059,kent2010,Elastic modulus (incipient) from 1% strain (Fig. 5a). Errors in composition not reported. Average grain size shown in Fig. 6a. Phase composition not detailed for the ST-WQ condition.
