symbol,atomic_number,atomic_radius,atomic_volume,block,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,name,period,series_id,specific_heat_capacity,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,proton_affinity,gas_basicity,heat_of_formation,c6,abundance_crust,abundance_sea,atomic_weight,is_monoisotopic,is_radioactive,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,pettifor_number,glawe_number,molar_heat_capacity
Cd,48,155,13.1,d,8.69,46,,59.1,6.11,12,2.98,HEX,Cadmium,5,8,0.232,96.9,218,144,136,1.69,,,111.8,,0.15,0.00011,112.414,,0,238,,chalcophile,138,151,144,,1817,78,75,75,26.02
In,49,155,15.7,p,7.31,65,0.3,225.1,3.24,13,4.59,TET,Indium,5,7,0.233,81.8,193,142,142,1.78,,,243,779,0.25,0.02,114.818,,0,246,,chalcophile,142,158,136,146,1863,84,79,80,26.74
Sn,50,145,16.3,p,7.287,53,1.112067,296,7.07,14,5.82,TET,Tin,5,7,0.227,66.8,217,139,140,1.96,,,301.2,659,2.3,4.00E-06,118.71,,0,248,,chalcophile,142,163,130,132,,90,83,83,26.99
Sb,51,145,18.4,p,6.68,43,1.046,195.2,20.08,15,4.51,RHL,Antimony,5,5,0.207,24.43,206,139,140,2.05,,,264.4,492,0.2,0.00024,121.76,,0,246,semi-volatile,chalcophile,139,166,133,127,,96,88,91,25.23
Te,52,140,20.5,p,6.232,38,1.970876,49.8,17.91,16,4.45,HEX,Tellurium,5,5,0.202,14.3,206,138,136,2.1,,,196.6,445,0.001,,127.6,,0,242,semi-volatile,chalcophile,137,160,128,121,1782,102,92,94,25.73
I,53,140,25.7,p,4.933,32.9,3.0590368,41.95,15.52,17,7.72,ORC,Iodine,5,6,0.214,,198,139,133,2.66,608.2,583.5,106.757,385,0.45,0.06,126.90447,1,0,238,semi-volatile,litophile,,139,129,125,1811,109,97,99,54.43
Xe,54,,42.9,p,0.005366,27.32,-0.056,12.65,,18,6.2,FCC,Xenon,5,2,0.158,0.0057,216,140,131,2.6,499.6,478.1,,,3.00E-05,5.00E-05,131.293,,0,232,volatile,atmophile,,,135,122,1898,116,5,5,20.786
Cs,55,260,70,s,1.873,400.9,0.471626,68.3,2.09,1,6.05,BCC,Cesium,6,3,0.242,35.9,343,244,232,0.79,,,76.5,,3,0.0003,132.905452,1,0,249,alkali metal,litophile,235,267,209,,1860,5,8,8,32.21
Ba,56,215,39,s,3.62,272,0.14462,142,7.66,2,5.02,BCC,Barium,6,4,0.204,,268,215,196,0.89,,,179.1,,425,0.013,137.327,,0,293,alkaline earth metal,litophile,198,222,161,149,1808,9,14,14,28.07
La,57,195,22.5,d,6.15,215,0.47,402,8.5,3,3.75,HEX,Lanthanum,6,9,0.195,13.4,243,207,180,1.1,1013,991.9,431,,39,3.40E-06,138.90547,,0,284,rare earth & related,litophile,169,187,139,139,1839,13,33,32,27.11
Ce,58,185,21,f,6.77,205,0.65,398,5.2,,5.16,FCC,Cerium,6,9,0.192,11.3,242,204,163,1.12,,,420.1,,66.5,1.20E-06,140.116,,0,282,rare earth & related,litophile,,,137,131,1803,15,32,31,26.94
Pr,59,185,20.8,f,6.773,216,0.962,331,11.3,,3.67,HEX,Praseodymium,6,9,0.193,12.5,240,203,176,1.13,,,356.9,,9.2,6.40E-07,140.90766,1,0,286,rare earth & related,litophile,,,138,128,1885,17,31,30,27.2
Nd,60,185,20.6,f,7.01,208,1.916,289,7.1,,3.66,HEX,Neodymium,6,9,0.19,,239,201,174,1.14,,,326.9,,41.5,2.80E-06,144.242,,0,284,rare earth & related,litophile,,,137,,1925,19,30,29,27.45
Pm,61,185,,f,7.26,200,,,,,,,Promethium,6,9,,17.9,238,199,173,,,,,,,,144.91276,,1,283,rare earth & related,litophile,,,135,,1945,21,29,28,
Sm,62,185,19.9,f,7.52,192,,165,8.9,,9,RHL,Samarium,6,9,0.197,,236,198,172,1.17,,,206.7,,7.05,4.50E-07,150.36,,0,280,rare earth & related,litophile,,,134,,1879,23,28,27,29.54
Eu,63,185,28.9,f,5.24,184,0.864,176,,,4.61,BCC,Europium,6,9,0.182,13.9,235,198,168,,,,177.4,,2,1.30E-07,151.964,,0,280,rare earth & related,litophile,,,134,,1901,25,18,17,27.66
Gd,64,180,19.9,f,7.9,158,,398,,,3.64,HEX,Gadolinium,6,9,0.236,,234,196,169,1.2,,,397.5,,6.2,7.00E-07,157.25,,0,277,rare earth & related,litophile,,,135,132,1880,27,27,26,37.03
Tb,65,175,19.2,f,8.23,170,1.165,389,,,3.6,HEX,Terbium,6,9,0.182,11.1,233,194,168,,,,388.7,,1.2,1.40E-07,158.92535,1,0,276,rare earth & related,litophile,,,135,,1843,29,26,25,28.91
Dy,66,175,19,f,8.55,163,0.352,291,,,3.59,HEX,Dysprosium,6,9,0.173,10.7,231,192,167,1.22,,,290.4,,5.2,9.10E-07,162.5,,0,275,rare earth & related,litophile,,,133,,1886,31,25,24,28.16
Ho,67,175,18.7,f,8.8,156,,301,,,3.58,HEX,Holmium,6,9,0.165,,230,192,166,1.23,,,300.6,,1.3,2.20E-07,164.93033,1,0,273,rare earth & related,litophile,,,133,,1878,33,24,23,27.15
Er,68,175,18.4,f,9.07,150,,317,,,3.56,HEX,Erbium,6,9,0.168,,229,189,165,1.24,,,316.4,,3.5,8.70E-07,167.259,,0,272,rare earth & related,litophile,,,133,,1843,35,23,22,28.12
Tm,69,175,18.1,f,9.321,144,1.029,232,,,3.54,HEX,Thulium,6,9,0.16,,227,190,164,1.25,,,232.2,,0.52,1.70E-07,168.93422,1,0,271,rare earth & related,litophile,,,131,,1879,37,22,20,27.03
Yb,70,175,24.8,f,6.9,139,-0.02,159,3.35,,5.49,FCC,Ytterbium,6,9,0.155,,226,187,170,,,,155.6,,3.2,8.20E-07,173.045,,0,277,rare earth & related,litophile,,,129,,1878,39,17,18,26.74
Lu,71,175,17.8,f,9.84,137,0.34,414,,,3.51,HEX,Lutetium,6,8,0.154,,224,187,162,1,992,970.6,427.6,,0.8,1.50E-07,174.9668,,0,270,rare earth & related,litophile,,,131,131,1907,41,21,19,26.86
